Label,Number,Company,Type,Zone,Task type,State,Commercial,Technique,Amount,% Réussite,Début,Proposition
13235 - Montée en version LinShare (lors de la sortie de la version pour tablettes),13235,CONSEIL GENERAL DE HAUTE LOIRE,LinPKI,GSE,LGS l Service Assistance,Sans suite,STAMBOULI,MAUDET,5000,0%,10/17/2014,5/15/2015
14257 - Hosting 2016 (17/05-16/05),14257,MARGARETH&MOI,Hosting,Paris,LRS | Hosting,Gagnée,BZIK,MAUDET,2880,100%,5/17/2016,5/17/2016
14554 - Formations Linux Essentials Ã  LPI 202 - ACIM SLL,14554,MINISTERE DE L'INTERIEUR,Formation,Paris,LTS | Intra,Signée,CONTE,CONTE,49950,100%,5/17/2016,5/17/2016
"14555 - plaplateforme collaborative, expertise Python et maintenance sites internet",14555,AL BAWSALA,OBM,Paris,LGS l Service Assistance,Gagnée,BOSSHARD,MAUDET,7000,100%,5/17/2016,5/17/2016
14557 - Réversibilité OBMonline,14557,MANUFACTURE NATIONALE DE SEVRES,OBM,Paris,LGS l Service Forfait,Signée,VASSILIEFF,CHAPELLON,6500,100%,5/17/2016,5/17/2016
14558 - Formation Programmation JAVA,14558,AVIATION CIVILE,Formation,GSO,LTS | Intra,Gagnée,DESCHUTTER,VALENTIN,4200,100%,5/18/2016,5/18/2016
14561 - AT  ASA  3T 2016,14561,FRANCE TELEVISIONS,Infra,Paris,LPS | Assistance,Signée,CONTE,MAUDET,28050,100%,5/18/2016,5/18/2016
14565 - BUY-Paris (LagardÃ¨re travel Retail),14565,TMP WORLDWIDE - FRANCE (PJB & ASSOCIES),NEOMA,NEOMA,LPS | Forfait,Gagnée,CLOUZEAU,ZAPOLSKY,2230,100%,3/14/2016,5/20/2016
14566 - accompagnement drupal,14566,METEO FRANCE,Développement,GSO,LPS | Forfait,Perdue,DESCHUTTER,VALENTIN,15000,0%,5/20/2016,5/27/2016
14567 - solution de signature électronique mode Saas,14567,SNCF,LinPKI,Paris,LGS l Service Forfait,Perdue,BUCAN,MAUDET,30000,0%,5/24/2016,5/26/2016
14568 - formation LPI 3,14568,MINISTERE DE L'INTERIEUR,Formation,Paris,LTS | Intra,Négociation,CONTE,MAUDET,15000,30%,5/24/2016,5/24/2016
14569 - Spécifications techniques outil de gestion de contacts,14569,ARS PACA,LinID,GSE,LGS l Service Forfait,Perdue,STAMBOULI,CHAPELLON,10000,0%,5/24/2016,5/31/2016
14352 - AT GLPI,14352,UNIVERSITE DE BOURGOGNE,Développement,Paris,LGS l Service Assistance,Sans suite,BOSSHARD,MAUDET,5318,0%,2/3/2016,2/29/2016
14570 - expertise Git Github [UGAP],14570,COUR DES COMPTES,Infra,Paris,LPS | Assistance,Signée,VASSILIEFF,MOUTON,5198.4,100%,5/25/2016,5/31/2016
14571 - intranet phase 2,14571,COUR DES COMPTES,Studio,Paris,LPS | Assistance,Sans suite,VASSILIEFF,MOUTON,30000,0%,5/25/2016,8/31/2016
14573 - LPI102,14573,ARISMORE,Formation,Paris,LTS | Inter,Signée,CONTE,MAUDET,2200,100%,5/26/2016,5/26/2016
14574 - TC _marche_2007-050_TMA,14574,BIBILOTHEQUE PUBLIQUE D'INFORMATION (BPI),LinID,Paris,LGS l Service Assistance,Gagnée,CONTE,MAUDET,7000,100%,5/26/2016,5/26/2016
20188 - Etude d'opportunité (suite),20188,MINEFI SLL 2012,Infra,Paris,LPS | Forfait,Signée,MAUDET,MAUDET,22207,100%,5/26/2016,5/26/2016
14575 - Refonte parcours client CCI Rezo,14575,CCI NORMANDIE,NEOMA,NEOMA,LPS | Forfait,Sans suite,BENHADDOU,MAUDET,15000,0%,5/26/2016,6/17/2016
